"Part";"Value";"Device";"Package";"Description";"";
"#0";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#1";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#2";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#3";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#4";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#RST";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"C1";"10uF/16V/105C(5x11mm,RM2)";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";
"C2";"100nF/2010";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"D1";"1N4148/DO35";"D1N4148-7.62MM";"DO35-10";"DIODES";"";
"D2";"1N4148/DO35";"D1N4148-7.62MM";"DO35-10";"DIODES";"";
"GND";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"PWR";"LED/3mm/Green";"LED3.0MM";"LED-3.0MM";"";"";
"R1";"1.5k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R2";"1.5k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R3";"1.5k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R4";"22R/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R5";"22R/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R6";"NA";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";
"R7";"NA";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";
"R8";"NA";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";
"RST";"TSR-1(T1101GP/6x3x4.3)";"SW-TAKT3";"SW-TAKT6X3.5";"";"";
"RST_E";"Open";"SJSJ_SMALLER";"SJ_1_SMALLER";"SMD solder JUMPER";"";
"STAT";"LED/3mm/Red";"LED3.0MM";"LED-3.0MM";"";"";
"U1";"ATtiny85-20PU+(DIL-8)+(HR1x8)";"ATTINY85";"DIP8";"";"";
"USB";"USB-B";"USB_SHIELD";"USB_NEAR_BLACK";"";"";
"VCC";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"Z1";"NA(BZV55C3V6/SOD80C)";"ZDIOD-SMD";"MINI-MELF";"";"";
"Z2";"NA(BZV55C3V6/SOD80C)";"ZDIOD-SMD";"MINI-MELF";"";"";
